,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Name,COUNTRY,1. POLICY & COMMITMENTS,1.1 What are the company’s human rights and environmental policies? ,Total Section 1.1,"1.2 What are the company’s vendor/supplier policies covering human rights and environmental standards across the supply chain? (e.g. Code of Conduct, Terms of Engagement, Supplier Guidebook)",Total Section 1.2,1.3 Publishes the company’s human rights and environmental management procedures (i.e. how the company is putting its policies 1.1 and 1.2 into action; simply auditing for compliance is not enough to score points) Reports published after January 2020,Total Section 1.3,1.4 Publishes a strategic plan towards progressively improving human rights and environmental impacts (i.e. roadmap or vision document) Must cover dates in the future,Total Section 1.4,1.5 Publishes an annual sustainability or corporate social responsibility report that is audited or verified by an independent third party. Reports published after January 2020,Total Section 1.5,Total Score Section 1,2. GOVERNANCE,2.1 Publicly discloses contact details for the department the company that has responsibility for human rights and environmental issues,Total Section 2.1,2.2 Publicly discloses the company board member or board committee accountable for human rights and environmental issues,Total Section 2.2,2.3 Publicly acknowledges how the company prioritises money spent on managing and implementing CSR and sustainability activities ,Total Section 2.3,2.4 Publishes how the company incorporates human rights and environmental performance into purchasing practices,Total Section 2.4,Total Score Section 2,3. TRACEABILITY,"3.1 Publishes tier one factories (direct relationship with buyer e.g. production units, Cut Make Trim (CMT) facilities, garment sewing, garment finishing, full package production and packaging and storage)",Total Section 3.1,"3.2 Publishes processing facilities (e.g. ginning and spinning, knitting, weaving, sub-contractors, dyeing and wet processing, tanneries, embroidering, printing, fabric finishing, dye-houses, laundries, etc.)",Total Section 3.2,"3.3 Publishes suppliers of raw materials such as fibres, hides, rubber, dyes, metals, etc. (e.g. raw material providers, farms, slaughter houses, sewing yarn suppliers, filament and staple, chemical suppliers, etc.) ",Total Section 3.3,Total Score Section 3,"4. KNOW, SHOW & FIX","4.1 Know, Show & Fix: Publicly discloses human rights and environmental due diligence processes, outcomes and what brand is doing to remediate any issues identified. (Please note: Auditing by itself does not represent a due diligence process.)",Total Section 4.1,"4.1b Know, Show & Fix: Publicly discloses environmental due diligence processes, outcomes and what brand is doing to remediate any issues identified. (Please note: Auditing by itself does not represent a due diligence process.)",Total Section 4.1,"4.2 Know: Publicly discloses how the company assesses implementation of its supply chain policies (as described in section 1.2) by facility (e.g. at factories, processing facilities, and farms)",Total Section 4.2,"4.3 Show: Publicly discloses findings from its facility-level assessments (e.g. at factories, processing facilities, and farms)",Total Section 4.3,4.4A Fix: Publicly discloses description and status of the remediation process,Total Section 4.4A,4.4B Fix: Publicly discloses how the company ensures human rights and environmental grievances from employees and workers are captured and addressed (no points given if whistleblowing is only for reasons of financial misconduct)  Reports published after January 2019,Total Section 4.4B,Total Score Section 4,"5. SPOTLIGHT ISSUES
 
5.1 – DECENT WORK & PURCHASING PRACTICES
5.2 – GENDER & RACIAL EQUALITY
5.3 – SUSTAINABLE SOURCING & MATERIALS
5.4 – OVERCONSUMPTION, WASTE & CIRCULARITY
5.4 – WATER & CHEMICALS
5.6 – CLIMATE CHANGE & BIODIVERSITY

Reports published after January 2019, where relevant to indicator",," 5.1 – DECENT WORK & PURCHASING PRACTICES

As related to SDG 8: Decent Work & Economic Growth – particularly targets 8.5 and 8.8 ",Total Section 5.1,," 5.2 – GENDER & RACIAL EQUALITY

As related to SDG 10: Reducing Inequalities – particularly targets 10.2, 10.3 and 10.4 ",Total Section 5.2,"5.3 – SUSTAINABLE SOURCING & MATERIALS

As related to SDG 12: Responsible Consumption and Production – particularly targets 12.2 and 12.4 ",Total Section 5.3,"5.4 – OVERCONSUMPTION, WASTE & CIRCULARITY

As related to SDG 12: Responsible Consumption and Production – particularly targets 12.5, 12.6 and 12.8",Total Section 5.4,"5.5 – WATER & CHEMICALS

As related to SDG 6: Clean Water – particularly targets 6.3 and 6.4 ",Total Section 5.5,"5.6 - CLIMATE CHANGE & BIODIVERSITY

As related to SDG 13: Climate Action target 13.3 and SDG 15: Life on Land – particularly targets 15.1, 15.2, 15.3 and 15.5 
",Total Section 5.6,Total Score Section 5,TOTAL POINTS,,
Abercrombie & Fitch,USA,,,3.5,"Final scoring 
FR TEAM ONLY",7.25,"Final scoring 
FR TEAM ONLY",7.5,"Final scoring 
FR TEAM ONLY",3,,0,21.25,"Final scoring 
FR TEAM ONLY",,1,,2,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",2,5,"Final scoring 
FR TEAM ONLY",,19,"Final scoring 
FR TEAM ONLY",18,"Final scoring 
FR TEAM ONLY",1,38,"Final scoring 
FR TEAM ONLY",,2,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",1,"Final scoring 
FR TEAM ONLY",3,"Final scoring 
FR TEAM ONLY",1,"Final scoring 
FR TEAM ONLY",2,9,"Final scoring 
FR TEAM ONLY",,,2,,"Final scoring 
FR TEAM ONLY",1,"Final scoring 
FR TEAM ONLY",3,"Final scoring 
FR TEAM ONLY",2,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",2,10,83.25,,
Adidas,Germany,,,4.5,"Final scoring 
FR TEAM ONLY",8.5,"Final scoring 
FR TEAM ONLY",14,"Final scoring 
FR TEAM ONLY",3,,1,31,"Final scoring 
FR TEAM ONLY",,1,,3,"Final scoring 
FR TEAM ONLY",1,"Final scoring 
FR TEAM ONLY",6,11,"Final scoring 
FR TEAM ONLY",,23,"Final scoring 
FR TEAM ONLY",18,"Final scoring 
FR TEAM ONLY",1,42,"Final scoring 
FR TEAM ONLY",,4,"Final scoring 
FR TEAM ONLY",2,"Final scoring 
FR TEAM ONLY",2,"Final scoring 
FR TEAM ONLY",5,"Final scoring 
FR TEAM ONLY",3,"Final scoring 
FR TEAM ONLY",5,21,"Final scoring 
FR TEAM ONLY",,,6,,"Final scoring 
FR TEAM ONLY",2,"Final scoring 
FR TEAM ONLY",7,"Final scoring 
FR TEAM ONLY",6,"Final scoring 
FR TEAM ONLY",3,"Final scoring 
FR TEAM ONLY",11,35,140,,
Aeropostale,USA,,,0.5,"Final scoring 
FR TEAM ONLY",3.5,"Final scoring 
FR TEAM ONLY",1.5,"Final scoring 
FR TEAM ONLY",0,,0,5.5,"Final scoring 
FR TEAM ONLY",,0,,0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,0,"Final scoring 
FR TEAM ONLY",,0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,0,"Final scoring 
FR TEAM ONLY",,0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",1,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",1,"Final scoring 
FR TEAM ONLY",0,2,"Final scoring 
FR TEAM ONLY",,,0,,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,0,7.5,,
AJIO,India,,,3,"Final scoring 
FR TEAM ONLY",2,"Final scoring 
FR TEAM ONLY",6,"Final scoring 
FR TEAM ONLY",0,,0,11,"Final scoring 
FR TEAM ONLY",,1,,2,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,3,"Final scoring 
FR TEAM ONLY",,0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,0,"Final scoring 
FR TEAM ONLY",,2,"Final scoring 
FR TEAM ONLY",2,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",1,5,"Final scoring 
FR TEAM ONLY",,,0,,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",1,1,20,,
ALDI Nord,Germany,,,4,"Final scoring 
FR TEAM ONLY",8,"Final scoring 
FR TEAM ONLY",10,"Final scoring 
FR TEAM ONLY",3,,1,26,"Final scoring 
FR TEAM ONLY",,1,,2,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",2,5,"Final scoring 
FR TEAM ONLY",,16,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",1,17,"Final scoring 
FR TEAM ONLY",,4,"Final scoring 
FR TEAM ONLY",3,"Final scoring 
FR TEAM ONLY",1,"Final scoring 
FR TEAM ONLY",4,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",4,16,"Final scoring 
FR TEAM ONLY",,,2,,"Final scoring 
FR TEAM ONLY",2,"Final scoring 
FR TEAM ONLY",4,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",2,"Final scoring 
FR TEAM ONLY",4,14,78,,
ALDI SOUTH,Germany,,,4.75,"Final scoring 
FR TEAM ONLY",7.25,"Final scoring 
FR TEAM ONLY",12,"Final scoring 
FR TEAM ONLY",3,,0,27,"Final scoring 
FR TEAM ONLY",,1,,2,"Final scoring 
FR TEAM ONLY",1,"Final scoring 
FR TEAM ONLY",2,6,"Final scoring 
FR TEAM ONLY",,15,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",1,16,"Final scoring 
FR TEAM ONLY",,5,"Final scoring 
FR TEAM ONLY",5,"Final scoring 
FR TEAM ONLY",2,"Final scoring 
FR TEAM ONLY",2,"Final scoring 
FR TEAM ONLY",1,"Final scoring 
FR TEAM ONLY",2,17,"Final scoring 
FR TEAM ONLY",,,3,,"Final scoring 
FR TEAM ONLY",3,"Final scoring 
FR TEAM ONLY",3,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",2,"Final scoring 
FR TEAM ONLY",9,20,86,,
ALDO,Canada,,,3.75,"Final scoring 
FR TEAM ONLY",7.5,"Final scoring 
FR TEAM ONLY",5,"Final scoring 
FR TEAM ONLY",0.5,,0,16.75,"Final scoring 
FR TEAM ONLY",,1,,1,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,2,"Final scoring 
FR TEAM ONLY",,0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",1,1,"Final scoring 
FR TEAM ONLY",,1,"Final scoring 
FR TEAM ONLY",1,"Final scoring 
FR TEAM ONLY",2,"Final scoring 
FR TEAM ONLY",1,"Final scoring 
FR TEAM ONLY",2,"Final scoring 
FR TEAM ONLY",5,12,"Final scoring 
FR TEAM ONLY",,,0,,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",2,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",2,4,35.75,,
Amazon,USA/EU,,,4.75,"Final scoring 
FR TEAM ONLY",7.5,"Final scoring 
FR TEAM ONLY",10.5,"Final scoring 
FR TEAM ONLY",1.5,,1,25.25,"Final scoring 
FR TEAM ONLY",,1,,2,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,3,"Final scoring 
FR TEAM ONLY",,13,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",1,14,"Final scoring 
FR TEAM ONLY",,4,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",1,"Final scoring 
FR TEAM ONLY",1,"Final scoring 
FR TEAM ONLY",2,"Final scoring 
FR TEAM ONLY",1,9,"Final scoring 
FR TEAM ONLY",,,3,,"Final scoring 
FR TEAM ONLY",2,"Final scoring 
FR TEAM ONLY",1,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",7,13,64.25,,
American Eagle,USA,,,4.5,"Final scoring 
FR TEAM ONLY",5.5,"Final scoring 
FR TEAM ONLY",7,"Final scoring 
FR TEAM ONLY",1.5,,1,19.5,"Final scoring 
FR TEAM ONLY",,1,,2,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",2,5,"Final scoring 
FR TEAM ONLY",,0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",1,1,"Final scoring 
FR TEAM ONLY",,1,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",2,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",1,4,"Final scoring 
FR TEAM ONLY",,,1,,"Final scoring 
FR TEAM ONLY",3,"Final scoring 
FR TEAM ONLY",6,"Final scoring 
FR TEAM ONLY",4,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",10,24,53.5,,
ANTA,China,,,0.25,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,,0,0.25,"Final scoring 
FR TEAM ONLY",,0,,0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,0,"Final scoring 
FR TEAM ONLY",,0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,0,"Final scoring 
FR TEAM ONLY",,0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,0,"Final scoring 
FR TEAM ONLY",,,0,,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,0,0.25,,
Anthropologie,USA,,,2.75,"Final scoring 
FR TEAM ONLY",4.25,"Final scoring 
FR TEAM ONLY",2.5,"Final scoring 
FR TEAM ONLY",3,,0,12.5,"Final scoring 
FR TEAM ONLY",,1,,2,"Final scoring 
FR TEAM ONLY",1,"Final scoring 
FR TEAM ONLY",0,4,"Final scoring 
FR TEAM ONLY",,0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,0,"Final scoring 
FR TEAM ONLY",,3,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",1,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",1,5,"Final scoring 
FR TEAM ONLY",,,1,,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",5,"Final scoring 
FR TEAM ONLY",4,"Final scoring 
FR TEAM ONLY",1,"Final scoring 
FR TEAM ONLY",0,11,32.5,,
Aritzia,Canada,,,2.75,"Final scoring 
FR TEAM ONLY",8.5,"Final scoring 
FR TEAM ONLY",9,"Final scoring 
FR TEAM ONLY",0,,0,20.25,"Final scoring 
FR TEAM ONLY",,1,,2,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",3,6,"Final scoring 
FR TEAM ONLY",,0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",1,1,"Final scoring 
FR TEAM ONLY",,3,"Final scoring 
FR TEAM ONLY",3,"Final scoring 
FR TEAM ONLY",2,"Final scoring 
FR TEAM ONLY",1,"Final scoring 
FR TEAM ONLY",1,"Final scoring 
FR TEAM ONLY",3,13,"Final scoring 
FR TEAM ONLY",,,2,,"Final scoring 
FR TEAM ONLY",1,"Final scoring 
FR TEAM ONLY",3,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",0,"Final scoring 
FR TEAM ONLY",8,14,54.25,,
