Brand Name,2023 FINAL SCORE,2023 FINAL PERCENTAGE,2022 FINAL SCORE,2022 FINAL PERCENTAGE,% change in score 2022-2023,2021 Final scores,2021 FINAL PERCENTAGES,% change in score 2021-2023,2020 Final scores,2020 FINAL PERCENTAGES,% change in score 2020-2023,2019 Final scores,2019 FINAL PERCENTAGES,% change in score 2019-2023,2018 Final scores,2018 FINAL PERCENTAGES,% change in score 2018-2023,2017 Final scores ,2017%,% change in score 2017-2023,
Abercrombie & Fitch,83.25,33.30%,46.75,18.70%,14.60%,49.75,19.90%,13.40%,62,24.80%,8.50%,51,20.40%,12.90%,36,14.40%,18.90%,24,9.60%,23.70%,
Adidas,140,56.00%,128,51.20%,4.80%,136,54.40%,1.60%,173.5,69.40%,-13.40%,160.5,64.20%,-8.20%,144.5,57.80%,-1.80%,121.5,48.60%,7.40%,
Aeropostale,7.5,3.00%,6.5,2.60%,0.40%,8.5,3.40%,-0.40%,10,4.00%,-1.00%,10.5,4.20%,-1.20%,13.5,5.40%,-2.40%,17.5,7.00%,-4.00%,
AJIO,20,8.00%,17.5,7.00%,1.00%,18.25,7.30%,0.70%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
ALDI Nord,78,31.20%,77.5,31.00%,0.20%,62,24.80%,6.40%,63,25.20%,6.00%,53.5,21.40%,9.80%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
ALDI SOUTH,86,34.40%,76,30.40%,4.00%,77,30.80%,3.60%,75,30.00%,4.40%,53.5,21.40%,13.00%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
ALDO,35.75,14.30%,35,14.00%,0.30%,35.5,14.20%,0.10%,43.5,17.40%,-3.10%,39.5,15.80%,-1.50%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Amazon,64.25,25.70%,77.25,30.90%,-5.20%,68.25,27.30%,-1.60%,63.5,25.40%,0.30%,34,13.60%,12.10%,26,10.40%,15.30%,22.5,9.00%,16.70%,
American Eagle,53.5,21.40%,45.75,18.30%,3.10%,38.75,15.50%,5.90%,43,17.20%,4.20%,34.5,13.80%,7.60%,36.5,14.60%,6.80%,24.5,9.80%,11.60%,
ANTA,0.25,0.10%,13.25,5.30%,-5.20%,17.5,7.00%,-6.90%,21,8.40%,-8.30%,26,10.40%,-10.30%,6,2.40%,-2.30%,#N/A,#N/A,#N/A,
Anthropologie,32.5,13.00%,34.75,13.90%,-0.90%,39.25,15.70%,-2.70%,50.5,20.20%,-7.20%,13.5,5.40%,7.60%,14.5,5.80%,7.20%,16.5,6.60%,6.40%,
Aritzia,54.25,21.70%,50.5,20.20%,1.50%,56.75,22.70%,-1.00%,39.5,15.80%,5.90%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Armani,95.75,38.30%,48.5,19.40%,18.90%,34.75,13.90%,24.40%,22,8.80%,29.50%,18,7.20%,31.10%,20.5,8.20%,30.10%,20.5,8.20%,30.10%,
Asda,69.75,27.90%,68.5,27.40%,0.50%,95.5,38.20%,-10.30%,84.5,33.80%,-5.90%,94,37.60%,-9.70%,76,30.40%,-2.50%,57.5,23.00%,4.90%,
ASICS,113.25,45.30%,110.25,44.10%,1.20%,122.25,48.90%,-3.60%,114.5,45.80%,-0.50%,76,30.40%,14.90%,66,26.40%,18.90%,49,19.60%,25.70%,
ASOS,125,50.00%,126.5,50.60%,-0.60%,118.25,47.30%,2.70%,137,54.80%,-4.80%,147,58.80%,-8.80%,125.5,50.20%,-0.20%,81.5,32.60%,17.40%,
Balenciaga,126.25,50.50%,116.5,46.60%,3.90%,107,42.80%,7.70%,117,46.80%,3.70%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Bally,82.75,33.10%,62.25,24.90%,8.20%,35,14.00%,19.10%,0,0.00%,33.10%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Banana Republic,120.25,48.10%,109.5,43.80%,4.30%,123,49.20%,-1.10%,125,50.00%,-1.90%,134.5,53.80%,-5.70%,134.5,53.80%,-5.70%,115.5,46.20%,1.90%,
BCBGMAXAZRIA,3.25,1.30%,3.25,1.30%,0.00%,4.75,1.90%,-0.60%,8,3.20%,-1.90%,4.5,1.80%,-0.50%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
